,support,itemsets
0,0.0957446808511,['GI_10047091-S']
1,0.0957446808511,['GI_10047093-S']
2,0.0957446808511,['GI_10047103-S']
3,0.0957446808511,['GI_10047133-A']
4,0.0957446808511,['GI_10092596-S']
5,0.0957446808511,['GI_10092600-S']
6,0.0957446808511,['GI_10092616-S']
7,0.0957446808511,['GI_10092618-S']
8,0.0957446808511,['GI_10092672-S']
9,0.0957446808511,['GI_10190705-S']
10,0.0957446808511,['GI_10190745-S']
11,0.0957446808511,['GI_10257436-S']
12,0.0957446808511,['GI_10337596-S']
13,0.0957446808511,['GI_10346134-S']
14,0.0957446808511,['GI_10440565-S']
15,0.0957446808511,['GI_10442821-S']
16,0.0957446808511,['GI_10518496-S']
17,0.0957446808511,['GI_10518498-S']
18,0.0957446808511,['GI_10518499-S']
19,0.0957446808511,['GI_10518505-A']
20,0.0957446808511,['GI_10518505-I']
21,0.0957446808511,['GI_10567815-I']
22,0.0957446808511,['GI_10800147-S']
23,0.0957446808511,['GI_10800411-S']
24,0.0957446808511,['GI_10800413-S']
25,0.0957446808511,['GI_10800414-S']
26,0.0957446808511,['GI_10800415-S']
27,0.0957446808511,['GI_10800416-S']
28,0.0957446808511,['GI_10800418-S']
29,0.0957446808511,['GI_10801344-S']
30,0.0957446808511,['GI_10834965-S']
31,0.0957446808511,['GI_10834989-A']
32,0.0957446808511,['GI_10835001-S']
33,0.0957446808511,['GI_10835009-S']
34,0.0957446808511,['GI_10835020-S']
35,0.0957446808511,['GI_10835022-S']
36,0.0957446808511,['GI_10835024-S']
37,0.0957446808511,['GI_10835046-S']
38,0.0957446808511,['GI_10835048-S']
39,0.0957446808511,['GI_10835070-S']
40,0.0957446808511,['GI_10835084-S']
41,0.0957446808511,['GI_10835100-S']
42,0.0957446808511,['GI_10835118-S']
43,0.0957446808511,['GI_10835168-S']
44,0.0957446808511,['GI_10835174-S']
45,0.0957446808511,['GI_10835186-S']
46,0.0957446808511,['GI_10835229-S']
47,0.0957446808511,['GI_10862690-S']
48,0.0957446808511,['GI_10862697-S']
49,0.0957446808511,['GI_10863870-S']
50,0.0957446808511,['GI_10863874-S']
51,0.0957446808511,['GI_10863878-S']
52,0.0957446808511,['GI_10863902-S']
53,0.0957446808511,['GI_10863908-S']
54,0.0957446808511,['GI_10863934-S']
55,0.0957446808511,['GI_10863946-S']
56,0.0957446808511,['GI_10863950-S']
57,0.0957446808511,['GI_10863972-S']
58,0.0957446808511,['GI_10863984-S']
59,0.0957446808511,['GI_10863994-S']
60,0.0957446808511,['GI_10863996-S']
61,0.0957446808511,['GI_10864008-I']
62,0.0957446808511,['GI_10864010-S']
63,0.0957446808511,['GI_10864012-S']
64,0.0957446808511,['GI_10864016-S']
65,0.0957446808511,['GI_10864022-S']
66,0.0957446808511,['GI_10864024-S']
67,0.0957446808511,['GI_10864030-S']
68,0.0957446808511,['GI_10864046-S']
69,0.0957446808511,['GI_10864649-S']
70,0.0957446808511,['GI_10880123-A']
71,0.0957446808511,['GI_10938009-A']
72,0.0957446808511,['GI_10938012-S']
73,0.0957446808511,['GI_10938013-S']
74,0.0957446808511,['GI_10938020-S']
75,0.0957446808511,['GI_10938021-S']
76,0.0957446808511,['GI_10947030-S']
77,0.0957446808511,['GI_10947032-S']
78,0.0957446808511,['GI_10947033-S']
79,0.0957446808511,['GI_10947034-S']
80,0.0957446808511,['GI_10947053-A']
81,0.0957446808511,['GI_10947058-S']
82,0.0957446808511,['GI_10947125-S']
83,0.0957446808511,['GI_10947134-S']
84,0.0957446808511,['GI_11024697-S']
85,0.0957446808511,['GI_11024703-S']
86,0.0957446808511,['GI_11034834-I']
87,0.0957446808511,['GI_11034854-S']
88,0.0957446808511,['GI_11036639-S']
89,0.0957446808511,['GI_11037054-S']
90,0.0957446808511,['GI_11037056-S']
91,0.0957446808511,['GI_11037060-A']
92,0.0957446808511,['GI_11037062-S']
93,0.0957446808511,['GI_11037064-S']
94,0.0957446808511,['GI_11038618-S']
95,0.0957446808511,['GI_11038623-S']
96,0.0957446808511,['GI_11038640-A']
97,0.0957446808511,['GI_11038642-A']
98,0.0957446808511,['GI_11038644-I']
99,0.0957446808511,['GI_11038645-S']
100,0.0957446808511,['GI_11038650-S']
101,0.0957446808511,['GI_11038661-S']
102,0.0957446808511,['GI_11038670-S']
103,0.0957446808511,['GI_11055991-S']
104,0.0957446808511,['GI_11056009-S']
105,0.0957446808511,['GI_11056011-S']
106,0.0957446808511,['GI_11056017-S']
107,0.0957446808511,['GI_11056035-S']
108,0.0957446808511,['GI_11056053-S']
109,0.0957446808511,['GI_11063982-S']
110,0.0957446808511,['GI_11072092-I']
111,0.0957446808511,['GI_11072100-S']
112,0.0957446808511,['GI_11079227-S']
113,0.0957446808511,['GI_11096339-S']
114,0.0957446808511,['GI_11119413-S']
115,0.0957446808511,['GI_11119427-S']
116,0.0957446808511,['GI_11125767-S']
117,0.0957446808511,['GI_11125769-S']
118,0.0957446808511,['GI_11140810-S']
119,0.0957446808511,['GI_11141876-S']
120,0.0957446808511,['GI_11141886-S']
121,0.0957446808511,['GI_11141892-S']
122,0.0957446808511,['GI_11141898-S']
123,0.0957446808511,['GI_11184225-S']
124,0.0957446808511,['GI_11277467-I']
125,0.0957446808511,['GI_11277469-A']
126,0.0957446808511,['GI_11321580-S']
127,0.0957446808511,['GI_11321582-S']
128,0.0957446808511,['GI_11321592-S']
129,0.0957446808511,['GI_11321604-S']
130,0.0957446808511,['GI_11321616-S']
131,0.0957446808511,['GI_11321629-S']
132,0.0957446808511,['GI_11345453-S']
133,0.0957446808511,['GI_11345471-S']
134,0.0957446808511,['GI_11345479-S']
135,0.0957446808511,['GI_11345483-S']
136,0.0957446808511,['GI_11345485-S']
137,0.0957446808511,['GI_11386146-S']
138,0.0957446808511,['GI_11386174-A']
139,0.0957446808511,['GI_11386184-S']
140,0.0957446808511,['GI_11386190-S']
141,0.0957446808511,['GI_11386200-S']
142,0.0957446808511,['GI_11415035-S']
143,0.0957446808511,['GI_11496238-S']
144,0.0957446808511,['GI_11496268-S']
145,0.0957446808511,['GI_11496880-S']
146,0.0957446808511,['GI_11496890-S']
147,0.0957446808511,['GI_11496970-A']
148,0.0957446808511,['GI_11496977-S']
149,0.0957446808511,['GI_11496979-S']
150,0.0957446808511,['GI_11496985-S']
151,0.0957446808511,['GI_11496988-S']
152,0.0957446808511,['GI_11496989-S']
153,0.0957446808511,['GI_11496991-S']
154,0.0957446808511,['GI_11496992-S']
155,0.0957446808511,['GI_11497001-S']
156,0.0957446808511,['GI_11497005-A']
157,0.0957446808511,['GI_11497611-A']
158,0.0957446808511,['GI_11545742-S']
159,0.0957446808511,['GI_11545760-S']
160,0.0957446808511,['GI_11545764-S']
161,0.0957446808511,['GI_11545766-S']
162,0.0957446808511,['GI_11545768-S']
163,0.0957446808511,['GI_11545792-S']
164,0.0957446808511,['GI_11545800-S']
165,0.0957446808511,['GI_11545834-S']
166,0.0957446808511,['GI_11545846-I']
167,0.0957446808511,['GI_11545860-S']
168,0.0957446808511,['GI_11545913-S']
169,0.0957446808511,['GI_11545919-S']
170,0.0957446808511,['GI_11559926-S']
171,0.0957446808511,['GI_11560140-S']
172,0.0957446808511,['GI_11612654-S']
173,0.0957446808511,['GI_11612658-S']
174,0.0957446808511,['GI_11641260-S']
175,0.0957446808511,['GI_11641403-S']
176,0.0957446808511,['GI_11641410-A']
177,0.0957446808511,['GI_11641417-S']
178,0.0957446808511,['GI_11641422-A']
179,0.0957446808511,['GI_11761614-A']
180,0.0957446808511,['GI_11761623-A']
181,0.0957446808511,['GI_11761623-I']
182,0.0957446808511,['GI_11863127-A']
183,0.0957446808511,['GI_11863151-S']
184,0.0957446808511,['GI_11863157-S']
185,0.0957446808511,['GI_11863158-S']
186,0.0957446808511,['GI_11863160-A']
187,0.0957446808511,['GI_11967986-S']
188,0.0957446808511,['GI_11968022-S']
189,0.0957446808511,['GI_11968026-S']
190,0.0957446808511,['GI_11968040-S']
191,0.0957446808511,['GI_11968044-S']
192,0.0957446808511,['GI_11968046-S']
193,0.0957446808511,['GI_11968048-S']
194,0.0957446808511,['GI_11968050-S']
195,0.0957446808511,['GI_11968052-S']
196,0.0957446808511,['GI_11993942-S']
197,0.0957446808511,['GI_11995467-S']
198,0.0957446808511,['GI_12025664-S']
199,0.0957446808511,['GI_12025669-S']
200,0.0957446808511,['GI_12025672-A']
201,0.0957446808511,['GI_12056462-S']
202,0.0957446808511,['GI_12056464-S']
203,0.0957446808511,['GI_12056467-A']
204,0.0957446808511,['GI_12056469-S']
205,0.0957446808511,['GI_12056472-S']
206,0.0957446808511,['GI_12056477-S']
207,0.0957446808511,['GI_12056970-S']
208,0.0957446808511,['GI_12225239-S']
